Date,Equipe,Cote,Resultat
2026-04-18,Sligo Rovers or draw,1.34,En Attente
2026-04-17,Genoa or draw,1.33,Gagné
2026-04-13,Draw or Deportivo Pasto,1.40,Gagné
2026-04-13,Getafe (+2),1.15,Gagné
2026-04-12,Genoa or draw,1.33,Gagné
2026-04-10,Famalicao or draw,1.17,Gagné
2026-04-10,AD Ceuta or draw,1.33,Gagné
2026-04-04,Darmstad (+2),1.25,Gagné
2026-03-27,Vissel Kobe or draw,3.35,Gagné
2026-03-20,Draw or Alméria,1.43,Gagné
2026-03-14,FC Thun or draw,1.18,Gagné
2026-03-14,Draw or NY Red Bull,1.61,Gagné
2026-03-14,Guimares or draw,1.43,Perdu
2026-03-09,Lazio or draw,1.39,Gagné
2026-03-08,St. Gallen or draw,1.41,Gagné
2026-03-04,FC Basel,1.21,Gagné
2026-03-04,Rayo Vallecano,1.22,Gagné
2026-02-28,Leverkusen or draw,1.24,Gagné
2026-02-27,Standard or draw,1.47,Gagné
2026-02-22,Hannover,1.17,Gagné
2026-02-21,Torreerense,1.35,Gagné
2026-02-20,VFL Bochum,1.38,Gagné
2026-02-15,Draw or Paderborn,1.53,Gagné
2026-02-14,Preston +2,1.21,Gagné
2026-02-14,Panetolikos or draw,1.53,Gagné
2026-02-12,Tigre or draw,1.35,Gagné
2026-02-10,Chelsea or draw,1.2,Gagné
2026-02-09,Aarhus or draw,1.19,Gagné
2026-02-08,Basaksehir +2,1.2,Gagné
2026-02-08,FC Botosani,1.35,Gagné
2026-02-08,Torrense or draw,1.35,Gagné
2026-02-08,Nacianal or draw,1.31,Gagné
2026-02-08,AEK Athens ,1.35,Gagné
2026-02-08,Genk or draw,1.33,Gagné
2026-02-06,Annecy or draw,1.26,Gagné
2026-02-06,Leganes or draw,1.31,Gagné
2026-02-03,Pliast Gliwice or draw,1.53,Gagné
2026-02-02,Dinamo Zagreb,1.18,Gagné
2026-02-01,Levadiakos,1.74,Gagné
2026-02-01,Draw or HNK Rijeka,1.35,Perdu
