Date,Equipe,Infos,Cote,Resultat
2026-02-15,Rayo Vallecano,Home or draw,1.24,En attente
2026-02-08,Huracan,Home or draw,1.36,En attente
2026-02-08,Sarmiento Junin ,Home or draw,1.36,En attente
2026-02-08,Platense,Home or draw,1.47,En attente
2026-02-08,Atlhetico Madrid,Home or draw,1.18,En attente
2026-02-08,Besiktas,Home or draw,1.2,En attente
2026-02-08,Nacional,Home or draw,1.3,En attente
2026-02-08,Athletic Bibao,Home or draw,1.19,En attente
2026-02-08,Levadiakos,Draw or Away,1.36,En attente
2026-02-08,FC Botosani,Winner,1.39,En attente
2026-02-08,Monza,Home or draw,1.19,En attente
2026-02-08,Goztepe,Draw or Away,1.43,En attente
2026-02-08,Brighton,Home or draw,1.33,En attente
2026-02-08,Udinese,Draw or Away,1.41,En attente
2026-02-08,Go Ahead Eagles,Home or draw,1.33,En attente
2026-02-08,Alaves,Home or draw,1.33,En attente
2026-02-08,Belgrano Cordoba,Home or draw,1.27,En attente
2026-02-07,Aldosivi,Home or draw,1.62,En attente
2026-02-07,Real Sociedad,Home or draw,1.23,Gagné
2026-02-07,Fiorentina,Home or draw,1.24,Gagné
2026-02-07,Twente ,Home or draw,1.28,Gagné
2026-02-07,Spezia,Home or draw,1.3,Gagné
2026-02-07,PEC Zwolle ,Home or draw,1.28,Perdu
2026-02-07,Newcastle ,Home or draw,1.29,Perdu
2026-02-07,Samsunspor ,Home or draw,1.49,Perdu
2026-02-07,Napoli,Draw or Away,1.23,Gagné
2026-02-07,Palermo ,Home or draw,1.19,Gagné
2026-02-07,Moreirense,Home or draw,1.63,Perdu
2026-02-07,Mantova,Home or draw,1.33,Gagné
2026-02-07,Carrarrese,Home or draw,1.36,Gagné
2026-02-07,Juve Stabia,Home or draw,1.21,Gagné
2026-02-07,Cantazoro,Home or draw,1.2,Gagné
2026-02-07,Man United,Home or draw,1.23,Gagné
2026-02-07,Antalyaspor,Draw or Away,1.63,Perdu
2026-02-07,Central Cordoba ,Home or draw,1.38,Gagné
2026-02-06,Celta Vigo,Home or draw,1.29,Perdu
2026-02-06,Cesena,Home or draw,1.19,Gagné
2026-02-06,Verona,Home or draw,1.33,Gagné
2026-02-06,Leeds,Home or draw,1.39,Gagné
2026-02-06,NAC Breda,Home or draw,1.25,Perdu
2026-02-04,Livingston,Home or draw,1.5,Perdu
2026-02-04,Hibernian,Home or draw,1.17,Gagné
2026-02-03,AC Milan,Draw or Away,1.35,Gagné
2026-02-02,Mallorca,Home or draw,1.4,Gagné
2026-02-02,As Roma,Draw or Away,1.27,Perdu
2026-02-02,Fenerbache,Draw or Away,1.22,Gagné
2026-02-01,Olympiakos,Draw or Away,1.44,Gagné
2026-02-01,Heereenven,Home or draw,1.28,Gagné
2026-02-01,Real Betis,Home or draw,1.24,Gagné
2026-02-01,Genclerbirlig,Home or draw,1.37,Gagné
2026-02-01,Forest,Home or draw,1.29,Gagné
2026-02-01,Man United,Home or draw,1.22,Gagné
2026-02-01,Atalanta,Draw or Away,1.64,Gagné
2026-02-01,Torino,Home or draw,1.24,Gagné
