Date,Equipe,Baisse_Moyenne,Buts_Dernier_Match,Cote,Resultat,Gain_Unit,Total_Bankroll,ID_Tech
2026-02-13, Once Caldas,7.68,2,1.32,En attente,,,
2026-02-12,Tigre,7.15,5,1.61,En attente,,,
2026-02-12,Arsenal,5.2,3,1.28,En attente,,,
2026-02-11,Dundee,6.81,0,1.28,Perdu,,,
2026-02-11,Stoke City,9.84,0,1.46,Perdu,,,
2026-02-11,Celtic,7.5,2,1.09,Gagné,,,
2026-02-11,Aston Villa,13.56,2,1.24,Perdu,,,
2026-02-11,FC ST. Gallen,6.26,2,1.13,Gagné,,,
2026-02-11,Lugano,5.96,2,1.21,Gagné,,,
2026-02-11,Juve Stabia,5.4,5,1.48,Gagné,,,
2026-02-10,Newcastle,8.41,3,1.3,Gagné,,,
2026-02-10,Sampdoria,12.02,3,1.39,Gagné,,,
2026-02-09,Talleres Cordoba,10.79,3,1.49,Gagné,,,
2026-02-09, Estudiantes L.P,10.38,0,1.8,Perdu,,,
2026-02-09,Lanus,6.08,4,1.49,Gagné,,,
2026-02-09,Deportivo Riestra,9.8,2,1.8,Perdu,,,
2026-02-09,FC Porto,6.16,3,1.36,Gagné,,,
2026-02-09,Middlesbrough,5.46,1,1.27,Gagné,,,
2026-02-09,AS Roma,18.0,1,1.38,Gagné,,,
2026-02-09,Kasımpaşa,7.51,3,1.24,Gagné,,,
2026-02-09,Velez Sarsfield,5.09,3,1.3,Gagné,,,
2026-02-08,San Lorenzo,10.31,1,1.97,Perdu,,,
2026-02-08,Sarmiento Junin,5.95,3,1.52,Perdu,,,
2026-02-08,Paris Saint Germain,9.31,3,1.14,Gagné,,,
2026-02-08,Lazio,16.0,5,1.38,Gagné,,,
2026-02-08,KV Mechelen,5.08,4,1.32,Gagné,,,
2026-02-08,Standard Liege,11.51,2,1.18,Gagné,,,
2026-02-08,Club Brugge KV,18.09,1,1.18,Gagné,,,
2026-02-08,Alanyaspor,9.52,4,1.17,Gagné,,,
2026-02-08,Inter,7.24,2,1.25,Gagné,,,
2026-02-08,Sassuolo,6.23,4,1.25,Gagné,,,
2026-02-08,Auxerre,10.58,0,1.33,Perdu,,,
2026-02-08,Toulouse,8.57,0,1.45,Perdu,,,
2026-02-08,Strasbourg,9.27,3,1.29,Gagné,,,
2026-02-08,Angers,7.05,1,1.45,Perdu,,,
2026-02-08,FC ST. Gallen,6.26,4,1.19,Gagné,,,
2026-02-08,Cadiz,5.45,1,1.27,Gagné,,,
2026-02-08,Albacete,8.33,3,1.29,Gagné,,,
2026-02-08,Athletic Club,6.09,2,1.29,Gagné,,,
2026-02-08,FC Botosani,6.21,3,1.23,Gagné,,,
2026-02-08,Union St. Gilloise,16.45,1,1.32,Gagné,,,
2026-02-08,Bohemians 1905,12.48,4,1.31,Gagné,,,
2026-02-08,Zlin,6.36,2,1.3,Gagné,,,
2026-02-08,Göztepe,7.52,3,1.36,Perdu,,,
2026-02-08,Monaco,8.38,4,1.15,Perdu,,,
2026-02-08,AEK Athens FC,12.77,2,1.2,Gagné,,,
2026-02-08,Lecce,11.63,1,1.58,Gagné,,,
