Date,Equipe,Cote,Resultat
2026-04-06,Leixoes -3.5,1.29,En attente
2026-04-06,Servette -3.5,1.65,En attente
2026-04-06,Juve Stabia -3.5,1.43,En attente
2026-04-06,Catanzaro -3.5,1.39,En attente
2026-04-06,Chaves +2.5,2.08,En attente
2026-04-06,Castellón +2.5,1.88,En attente
2026-04-06,Bohemians +2.5,1.64,En attente
2026-04-06,Blackburn +2.5,2.4,En attente
2026-04-06,Ipswich +2.5,1.91,En attente
2026-04-06,Atalanta +2.5,2.12,En attente
2026-04-06,Norwich +2.5,1.9,En attente
2026-04-06,Macara +2.5,2.58,En attente
2026-04-06,Universidad de Chile +2.5,2.2,En attente
2026-04-06,Alianza Valledupar +1.5,1.46,En attente
2026-04-05,Torino -3.5,1.25,En attente
2026-04-05,Andorra -3.5,1.55,En attente
2026-04-05, Slavia Praha,1.53,En attente
2026-04-05,Preußen Münster -3.5,1.34,En attente
2026-04-05,Melbourne Victory -3.5,1.35,Gagné
2026-04-05,Houston Dynamo -3.5,1.3,Gagné
2026-04-05,Botafogo,1.3,Gagné
2026-04-05,New York City FC,1.35,Gagné
2026-04-05,River Plate +2.5,2.18,En attente
2026-04-05,Manta FC,2.64,En attente
2026-04-05,Inter,1.98,En attente
2026-04-05,Bohemians +2.5,2.44,En attente
2026-04-05,Deportivo Cuenca +2.5,1.8,Perdu
2026-04-05,Huracan,1.72,En attente
2026-04-05,Delfin,1.69,En attente
2026-04-05,Heart,1.25,En attente
2026-04-04,NEC -3.5,1.69,Gagné
2026-04-04,Gaziantep  -3.5,1.4,Gagné
2026-04-04,Dinamo Zagreb -3.5,1.51,Perdu
2026-04-04,Real Sociedad -3.5,1.48,Gagné
2026-04-04,Gamba Osaka -3.5,1.4,Gagné
2026-04-04,Sao Paulo +2.5,2.3,Gagné
2026-04-04,Lazio +2.5,2.38,Perdu
2026-04-04,Aldosivi +2.5,2.94,Perdu
2026-04-04,FC Lugano +2.5,1.52,Perdu
2026-04-04,Teplice +2.5,1.78,Gagné
2026-04-04,Utrecht +2.5,1.56,Gagné
2026-04-04,Burgos +2.5,2.58,Gagné
2026-04-04,Werder Bremen +2.5,1.53,Gagné
2026-04-04,Dukla Praha +2.5,2.16,Perdu
2026-04-04, Dinamo Zagreb +2.5,1.64,Gagné
2026-04-04,Slovan Liberec +2.5,1.83,Gagné
2026-04-04,Sassuolo +2.5,2.24,Gagné
2026-04-04,Farense +2.5,2.28,Perdu
2026-04-04,Gangwon FC +2.5,2.48,Gagné
2026-04-04, Ulsan Hyundai FC +2.5,1.98,Perdu
2026-04-04,Barcelona SC +2.5,1.87,Perdu
2026-04-04,Barcelona SC +1.5,1.3,Gagné
2026-04-04,Guayaquil City FC +1.5,1.4,Gagné
2026-04-04,Penafiel +1.5,1.38,Gagné
2026-04-04,Pohang Steelers +1.5,1.46,Perdu
2026-04-03,QPR -3.5,1.36,Gagné
2026-04-03,Rayo Vallecano +2.5,2.0,Perdu
2026-04-03,Bohemiens +2.5,2.22,Perdu
2026-04-03,Dundalk +2.5,2.08,Gagné
2026-04-03,Bastia +2.5,2.28,Perdu
2026-04-03,Bristol City,2.28,Gagné
2026-04-03,Norwich +2.5,2.0,Perdu
2026-04-03,Santa Clara +1.5,1.29,Gagné
2026-04-03,Sligo rovers +1.5 ,1.33,Gagné
2026-04-03,Oliverense +1.5,1.32,Gagné
2026-04-03,Atletico MG,1.35,Gagné
2026-04-03,Tondela +1.5,1.42,Gagné
2026-04-01,Huesca +2.5 ,2.2,Perdu
2026-04-01,Huesca -3.5 ,1.4,Gagné
2026-03-29,Andorra +2.5,2.2,Gagné
