Date,Equipe,Type_Over,Cote,Resultat
2026-02-28,Everton,+1.5,1.01,En attente
2026-02-28,Brentford,+2.5,1.91,En attente
2026-02-28,Borussia Mönchengladbach,+1.5,1.01,En attente
2026-02-28,Werder Bremen,+1.5,1.01,En attente
2026-02-28,Bayer Leverkusen,+2.5,1.01,En attente
2026-02-28,Lecce,+1.5,1.01,En attente
2026-02-28,BlackBurn,+2.5,1.01,En attente
2026-02-28,Portsmouth,+2.5,1.01,En attente
2026-02-28,Kasımpaşa,+1.5,1.01,En attente
2026-02-28,Macarthur,+2.5,1.61,En attente
2026-02-28,Perth Glory,+2.5,1.84,En attente
2026-02-28,FC Schalke 04,+1.5,1.01,En attente
2026-02-28,Monaco,+1.5,1.01,En attente
2026-02-28,Atromitos,+1.5,1.01,En attente
2026-02-28,Teplice,+1.5,1.01,En attente
2026-02-28,Melbourne City,+1.5,1.32,En attente
2026-02-27,Trabzonspor,+2.5,1.73,En attente
2026-02-27,Sporting CP,+2.5,1.36,En attente
2026-02-27,Aston Villa,+1.5,1.31,En attente
2026-02-27,Parme,+1.5,1.54,En attente
2026-02-25,Norwich,+2.5,1.5,En attente
2026-02-25,Stoke City,+1.5,1.47,En attente
2026-02-24,Wrexham ,+2.5,2.1,Gagné
2026-02-24,Aberdeen,+2.5,1.9,Perdu
2026-02-24,Preston,+2.5,2.4,Perdu
2026-02-24,BlackBurn,+2.5,2.3,Gagné
2026-02-23,Porto B,+1.5,1.4,Perdu
2026-02-23,Everton,+2.5,1.7,Perdu
2026-02-23,Alaves,+1.5,1.5,Gagné
2026-02-22,Lorient,+2.5,1.91,Gagné
2026-02-22,Angers,+1.5,1.4,Perdu
2026-02-22,Werder Bremen,+1.5,1.41,Gagné
2026-02-22,Tottenham,+1.5,1.3,Gagné
2026-02-22,Parma,+1.5,1.3,Perdu
2026-02-22,Hertha,+1.5,1.31,Gagné
2026-02-22,Atalanta,+1.5,1.44,Gagné
2026-02-22,AS Roma,+1.5,1.32,Gagné
2026-02-22,Sigma Olomouc,+1.5,1.6,Gagné
2026-02-22,Borussia Mönchengladbach,+1.5,1.3,Gagné
2026-02-22,Auxerre,+1.5,1.31,Gagné
2026-02-22,Hertha BSC,+1.5,1.22,Gagné
2026-02-21,Wolfsburg,+1.5,1.25,Gagné
2026-02-21,FC Schalke 04,+1.5,1.24,Gagné
2026-02-21,Toulouse,+2.5,1.44,Gagné
2026-02-21,Club Brugge KV,+1.5,1.2,Gagné
2026-02-21,Monaco,+1.5,1.2,Gagné
