Date,Equipe,Infos,Cote,Resultat
2026-03-14,Piast Gliwice,-3.5 buts,1.36,En attente
2026-03-03,Servette,+0.5 But MT2,1.3,Gagné
2026-03-02,Zaglebie Lubin,+0.5 But MT2,1.3,Gagné
2026-03-01,Austria Vienna,+0.5 But MT2,1.31,Gagné
2026-02-28,Mlada Boleslav,+1.5 buts,1.3,Gagné
2026-02-27,Bristol City,+0.5 But MT2,1.25,Gagné
2026-02-23,Jaguares,"-3,5 Buts",1.4,Gagné
2026-02-22,Feyenoord,"+1,5 Buts",1.2,Gagné
2026-02-22,Anderlecht,L'équipe marque,1.2,Gagné
2026-02-21,Atletico Madrid,L'équipe marque,1.15,Gagné
2026-02-15, Lyon,"+0,5 Buts 2MT",1.19,Gagné
2026-02-15,Feyenoord,"+0,5 Buts 2MT",1.13,Gagné
2026-02-15,Cobresal,"+0,5 Buts 2MT",1.25,Remboursé
2026-02-15,Anderlecht,Equipe Marque,1.22,Perdu
2026-02-08,USG,+0.5 Buts 2°MT,1.29,Gagné
2026-02-08,Levadiakos,"-3,5 Buts",1.33,Perdu
2026-02-07,Fortuna Sittard,+0.5 Buts 2°MT,1.2,Gagné
2026-02-01,USG,"+0,5 But 2MT",1.22,Perdu
