Date,Equipe,Infos,Cote,Resultat
2026-02-23,Cadiz,+0.5 MT 2,1.3,En attente
2026-02-22,Göztepe,+0.5 MT 2,1.23,En attente
2026-02-22, Randers FC,+0.5 MT 2,1.2,En attente
2026-02-22,Malaga,-0.5 MT,3.0,En attente
2026-02-22,Juve Stabia,-0.5 MT,2.55,En attente
2026-02-22,OFI,-0.5 MT,2.88,En attente
2026-02-22,Newcastle Jets,-3.5 buts,1.98,En attente
2026-02-22,Malaga,-2.5 buts,1.88,En attente
2026-02-22,Mallorca,-2.5 buts,1.74,En attente
2026-02-22,Chaves,+1.5 buts,1.41,En attente
2026-02-22,Göztepe,+0.5 but,1.06,En attente
2026-02-22,PAOK,+0.5 but,1.06,En attente
2026-02-22,Gamba Osaka,+0.5 but,1.08,En attente
2026-02-22,Dukla Praha,L'équipe marque,1.66,En attente
2026-02-22,FC Lugano,LTD,1.3,En attente
2026-02-21,Pogon Szczecin,-0.5 MT,3.3,En attente
2026-02-21,Padova,-0.5 MT,2.55,En attente
2026-02-21, Istra 1961,-0.5 MT,2.71,En attente
2026-02-21,Venezia,-0.5 MT,4.0,En attente
2026-02-21,Bayern München,-2.5  buts,4.8,En attente
2026-02-21,Bucaramanga,+0.5 but,1.11,En attente
2026-02-21,Raków Częstochowa,+0.5 but,1.05,En attente
2026-02-21,Reims,+0.5 but,1.05,En attente
2026-02-21,West Brom,+0.5 but,1.07,En attente
2026-02-20, Fortuna Sittard,-0.5 MT,3.25,En attente
2026-02-20,Universitatea Cluj,-3.5 buts,1.26,En attente
2026-02-20, Bastia,+0.5 but,1.11,En attente
2026-02-20,Bastia,L'équipe marque,1.6,En attente
2026-02-19,Belgrano Cordoba,+1.5 buts,1.56,En attente
